"project_funding","appropriation_detail","grantee_name","project_name","project_type","app_commuting_zone","project_description","ktid","cities"
2720000000,"CHIPS for America Manufacturing Incentives","Intel","CHIPS for America - Intel - Other","SUB","Phoenix, AZ","Construction of two new leading-edge logic fabs and modernization of one existing fab, significantly increasing leading-edge logic capacity, including high volume domestic production of Intel 18A, the company's most advanced chip design that enables higher performing, leading-edge chips through RibbonFET gate-all-around transistors and PowerVia backside power delivery. The company will produce the first Intel 18A product, called Clearwater Forest, at its Arizona facilities. In 2022, Intel partnered with Maricopa County Community Colleges to launch a first-of-its-kind program with Intel employee-instructors to provide students an entry point into semiconductor technician careers. This investment will support 3,000 manufacturing jobs and 6,000 construction jobs.","Semiconductors & Microelectronics","Maricopa County, AZ; Goodyear, AZ; Surprise, AZ; Phoenix, AZ; Youngtown, AZ; Tolleson, AZ; Scottsdale, AZ; Morristown, AZ; Peoria, AZ; Aguila, AZ; Glendale, AZ; Guadalupe, AZ; Circle City, AZ; Theba, AZ; Fountain Hills, AZ; Citrus Park, AZ; Carefree, AZ; Avondale, AZ; Paradise Valley, AZ; Chandler, AZ; Tonopah, AZ; St. Johns, AZ; Sun City West, AZ; Sun Lakes, AZ; Queen Creek, AZ; Tempe, AZ; Cave Creek, AZ; El Mirage, AZ; Sun City, AZ; Litchfield Park, AZ; Gilbert, AZ; Apache Junction, AZ; Buckeye, AZ; Wintersburg, AZ; Wittmann, AZ; New River, AZ; Goodyear Village, AZ; Rio Verde, AZ; Gila Crossing, AZ; Wickenburg, AZ; Black Canyon City, AZ; Komatke, AZ; San Tan Valley, AZ; Anthem, AZ; Roosevelt, AZ; Arlington, AZ; Gila Bend, AZ; Maricopa Colony, AZ; Kaka, AZ; Mesa, AZ"
340000000,"CHIPS for America Manufacturing Incentives","Intel","CHIPS for America - Intel - Other","SUB","Albuquerque, NM","Modernization of two fabs into advanced packaging facilities to close an important gap in the domestic semiconductor supply chain. When in full production, this facility will be the largest advanced packaging facility in the United States. To support engineering students in New Mexico, Intel established endowment scholarships at five colleges and universities and has supported STEAM education through investments, annual grants, and hands-on learning kits benefitting students living on indigenous lands. This investment will support 700 manufacturing jobs and 1,000 construction jobs.","Semiconductors & Microelectronics","Sandoval County, NM; Pueblo Sandia Village, NM; San Ysidro, NM; Edith Enclave, NM; Edgewood, NM; Jemez Springs, NM; Golden, NM; Torreon, NM; Regina, NM; Pueblo Pintado, NM; San Luis, NM; Cochiti, NM; Zia Pueblo, NM; La Madera, NM; Ponderosa, NM; Placitas, NM; La Jara, NM; Cuba, NM; Rio Rancho Estates, NM; Paa-Ko, NM; Corrales, NM; San Felipe Pueblo, NM; Cañon, NM; Cochiti Lake, NM; La Cueva, NM; Lybrook, NM; Jemez Pueblo, NM; Santa Ana Pueblo, NM; Rio Rancho, NM; Bernalillo, NM; Peña Blanca, NM; Algodones, NM; Albuquerque, NM; Santo Domingo Pueblo, NM"
2380000000,"CHIPS for America Manufacturing Incentives","Intel","CHIPS for America - Intel - Other","SUB","Columbus, OH","Creation of a new regional chipmaking ecosystem, anchored by the construction of two leading-edge logic fabs, expanded leading-edge foundry capacity, and supply chain diversification. Intel has devoted significant resources to develop a pipeline of skilled workers in Ohio, funding over 80 institutions of higher education across the state, including community colleges, HBCUs, and universities. As part of this investment in Ohio, Intel's design and build partner Bechtel signed a Project Labor Agreement (PLA) with the North America Building Trades Unions for the construction of the two facilities. This investment will support 3,000 manufacturing jobs and 7,000 construction jobs.","Semiconductors & Microelectronics","Licking County, OH; Marne, OH; Fairfield Beach, OH; Jersey, OH; Kirkersville, OH; Newark, OH; Buckeye Lake, OH; Granville South, OH; Columbus, OH; Hartford, OH; Granville, OH; Utica, OH; St. Louisville, OH; Beechwood Trails, OH; Harbor Hills, OH; Jacksontown, OH; Hebron, OH; Pataskala, OH; Alexandria, OH; Hanover, OH; Heath, OH; Etna, OH; Brownsville, OH; Thornport, OH; Gratiot, OH; Reynoldsburg, OH; Johnstown, OH; New Albany, OH; Nashport, OH"
90000000,"CHIPS for America Manufacturing Incentives","Microchip Technology","CHIPS for America - Microchip Technology - Other","SUB","Colorado Springs, CO","Alongside an award to Microchip's facility in Gresham, OR, this investment would enable Microchip to significantly increase its U.S. production of microcontroller units (MCUs) and other specialty semiconductors built on mature-nodes critical to America's automotive, commercial, industrial, defense, and aerospace industries and create over 700 direct construction and manufacturing jobs. The projects are estimated to nearly triple the share of semiconductors the company produces at these sites, decreasing its reliance on foreign foundries and strengthening supply chain resilience.","Semiconductors & Microelectronics","El Paso County, CO; Rock Creek Park, CO; Ramah, CO; Woodmoor, CO; Green Mountain Falls, CO; Peyton, CO; Colorado Springs, CO; Fountain, CO; Palmer Lake, CO; Security-Widefield, CO; Air Force Academy, CO; Calhan, CO; Monument, CO; Woodland Park, CO; Manitou Springs, CO; Cascade-Chipita Park, CO; Gleneagle, CO; Stratmoor, CO; Ellicott, CO; Black Forest, CO; Cimarron Hills, CO; Fort Carson, CO"
72000000,"CHIPS for America Manufacturing Incentives","Microchip Technology","CHIPS for America - Microchip Technology - Other","SUB","Portland, OR","Alongside an award to Microchip's facility in Colorado Springs, CO, this investment would enable Microchip to significantly increase its U.S. production of microcontroller units (MCUs) and other specialty semiconductors built on mature-nodes critical to America's automotive, commercial, industrial, defense, and aerospace industries and create over 700 direct construction and manufacturing jobs. The projects are estimated to nearly triple the share of semiconductors the company produces at these sites, decreasing its reliance on foreign foundries and strengthening supply chain resilience.","Semiconductors & Microelectronics","Multnomah County, OR; Lake Oswego, OR; Portland, OR; Garden Home-Whitford, OR; Damascus, OR; Orient, OR; Happy Valley, OR; Vancouver, WA; Milwaukie, OR; West Slope, OR; Tigard, OR; Camas, WA; Cedar Mill, OR; West Haven-Sylvan, OR; Gresham, OR; Maywood Park, OR; Troutdale, OR; Wood Village, OR; Oak Grove, OR; Fairview, OR; Washougal, WA; Raleigh Hills, OR; Beaverton, OR; Dunthorpe, OR; Bethany, OR"
4912000000,"CHIPS for America Manufacturing Incentives","Micron","CHIPS for America - Micron - Other","SUB","Syracuse, NY","Construct first two fabs of planned four fab â€œmegafabâ€ focused on leading-edge DRAM chip production. Each fab will have 600,000 square feet of cleanrooms, totaling 2.4 million square feet of cleanroom space across the four facilitiesâ€”the largest amount of cleanroom space ever announced in the United States and the size of nearly 40 football fields.","Semiconductors & Microelectronics","Onondaga County, NY; Camillus, NY; Fabius, NY; Tully, NY; Skaneateles, NY; Jordan, NY; Village Green, NY; Solvay, NY; Baldwinsville, NY; Lakeland, NY; Nedrow, NY; Mattydale, NY; Elbridge, NY; Marcellus, NY; Minoa, NY; North Syracuse, NY; Syracuse, NY; De Witt, NY; Bridgeport, NY; Brewerton, NY; Sand Ridge, NY; Lyncourt, NY; Westvale, NY; Radisson, NY; Seneca Knolls, NY; Phoenix, NY; Liverpool, NY; Galeville, NY; Fairmount, NY; East Syracuse, NY; Fayetteville, NY; Manlius, NY"
1228000000,"CHIPS for America Manufacturing Incentives","Micron","CHIPS for America - Micron - Other","SUB","Boise, ID","Develop a high-volume manufacturing (HVM) fab, with approximately 600,000 square feet of cleanroom space focused on the production of leading-edge DRAM chips. The fab would be co-located with the company's R&D facility to improve efficiency across their R&D and manufacturing operations, reducing lags in technology transfer and cutting time-to-market for leading-edge memory products.","Semiconductors & Microelectronics","Ada County, ID; Boise City, ID; Star, ID; Eagle, ID; Garden City, ID; Kuna, ID; Hidden Springs, ID; Avimor, ID; Meridian, ID; Robie Creek, ID; Nampa, ID"
120000000,"CHIPS for America Manufacturing Incentives","Polar","CHIPS for America - Polar - Other","SUB","Minneapolis, MN","This proposed funding would catalyze investment from private and state sources to expand Polar's manufacturing facility and introduce new technology capabilities in Bloomington, Minnesota. The expansion and modernization would enable Polar to double its U.S. production capacity of sensor and power chips within two years. Additionally, this proposed investment would bring in more U.S. private capital, which would transform Polar from a majority foreign-owned in-house manufacturer to a majority U.S.-owned commercial foundry, expanding opportunities for U.S. chip designers to innovate and produce technologies domestically.","Semiconductors & Microelectronics","Hennepin County, MN; Mound, MN; Medicine Lake, MN; Lauderdale, MN; Woodland, MN; Champlin, MN; Long Lake, MN; Loretto, MN; Minnetonka Beach, MN; St. Anthony, MN; Spring Park, MN; Deephaven, MN; Columbia Heights, MN; Medina, MN; Fridley, MN; Tonka Bay, MN; Burnsville, MN; Brooklyn Park, MN; Greenwood, MN; Otsego, MN; Orono, MN; St. Bonifacius, MN; Plymouth, MN; Corcoran, MN; Osseo, MN; Minnetrista, MN; Rockford, MN; Chanhassen, MN; Anoka, MN; Edina, MN; Excelsior, MN; Golden Valley, MN; Hanover, MN; Hopkins, MN; Maple Grove, MN; Maple Plain, MN; Minnetonka, MN; Richfield, MN; Robbinsdale, MN; Rogers, MN; St. Louis Park, MN; St. Paul, MN; St. Michael, MN; Elk River, MN; Independence, MN; Crystal, MN; Greenfield, MN; Delano, MN; New Hope, MN; Bloomington, MN; Coon Rapids, MN; New Brighton, MN; Victoria, MN; Ramsey, MN; Shakopee, MN; Shorewood, MN; Eagan, MN; Eden Prairie, MN; Savage, MN; Brooklyn Center, MN; Roseville, MN; Mendota Heights, MN; Dayton, MN; Minneapolis, MN; Wayzata, MN"
6700000,"CHIPS for America Manufacturing Incentives","Rogue Valley Microdevices","CHIPS for America - Rogue Valley Microdevices - Other","SUB","West Palm Beach, FL","The proposed CHIPS investment would support the construction of RVM's pure play microelectromechanical systems (MEMS) and sensor foundry facility in Palm Bay, Florida, and is estimated to nearly triple RVM's manufacturing capacity. MEMS are microscale devices that integrate electrical and mechanical components; their integration with semiconductor components across a wide range of applications enables technology advancements and improved performance. RVM is one of the only U.S.-based pure play MEMS foundries which specializes in the high-mix, low-volume wafer and MEMS foundry services that are important to the defense industrial base and to the biomedical industry.  With this proposed investment, the Biden-Harris Administration would be supporting a reliable, domestic supply of MEMS devices manufactured on 300mm wafers, further strengthening U.S. supply chain resilience while creating over 75 jobs in the state of Florida.","Semiconductors & Microelectronics","Brevard County, FL; Melbourne, FL; Titusville, FL; Sharpes, FL; Scottsmoor, FL; Viera West, FL; Malabar, FL; Mims, FL; South Patrick Shores, FL; Melbourne Village, FL; Indian Harbour Beach, FL; Palm Bay, FL; North Merritt Island, FL; Cocoa West, FL; Viera East, FL; Cocoa, FL; Cocoa Beach, FL; Melbourne Beach, FL; Palm Shores, FL; West Canaveral Groves, FL; Grant-Valkaria, FL; June Park, FL; Merritt Island, FL; Port St. John, FL; Roseland, FL; Indialantic, FL; Satellite Beach, FL; West Melbourne, FL; Rockledge, FL; Micco, FL; Cape Canaveral, FL; Tropical Park, FL; Patrick AFB, FL"
3200000000,"CHIPS for America Manufacturing Incentives","Samsung","CHIPS for America - Samsung - Other","SUB","Austin, TX","The proposed CHIPS investment would support SK's West Lafayette facility at the Purdue University Research Park, which will be home to an advanced semiconductor packaging line that will mass-produce next generation HBM, the highest performance memory chips, that are crucial components of Graphics Processing Units (GPUs) that train AI systems. Mass production at the facility is expected to begin in the second half of 2028. SK hynix will collaborate with Purdue University on plans for future R&D projects, which include working on advanced packaging and heterogenous integration with Purdue's Birck Nanotechnology Center and other research and institutes and industry partners. The next generation HBM that will be researched and developed, and mass-produced, and packaged in this ecosystem with Purdue University will play an important role in the U.S. semiconductor ecosystem and advancing U.S. technological leadership.`","Semiconductors & Microelectronics","Williamson County, TX; Granger, TX; Thrall, TX; Pflugerville, TX; Georgetown, TX; Cedar Park, TX; Leander, TX; Florence, TX; Jarrell, TX; Thorndale, TX; Austin, TX; Hutto, TX; Serenada, TX; Santa Rita Ranch, TX; Brushy Creek, TX; Round Rock, TX; Sonterra, TX; Coupland, TX; Weir, TX; Liberty Hill, TX; Taylor, TX; Bartlett, TX"
3200000000,"CHIPS for America Manufacturing Incentives","Samsung","CHIPS for America - Samsung - Other","SUB","Austin, TX","Two leading-edge logic foundry fabs focused on mass production of 4nm and 2nm process technologies","Semiconductors & Microelectronics","Travis County, TX; Pflugerville, TX; Wells Branch, TX; Lakeway, TX; Bear Creek, TX; Cedar Park, TX; Leander, TX; Briarcliff, TX; Hudson Bend, TX; Elgin, TX; Mustang Ridge, TX; Steiner Ranch, TX; Austin, TX; Hutto, TX; Manor, TX; Volente, TX; Rollingwood, TX; Bee Cave, TX; Jonestown, TX; Sunset Valley, TX; Manchaca, TX; Garfield, TX; Shady Hollow, TX; Barton Creek, TX; Hornsby Bend, TX; Round Rock, TX; The Hills, TX; Coupland, TX; Creedmoor, TX; Lago Vista, TX; West Lake Hills, TX; San Leanna, TX; Webberville, TX; Point Venture, TX; Lost Creek, TX"
450000000,"CHIPS for America Manufacturing Incentives","SK hynix","CHIPS for America - SK hynix - Other","SUB","Lafayette, IN","Expand a facility that has been an economic engine for Central Texas for nearly 30 years. This proposed investment would expand the existing facilities to support the production of leading fully depleted silicon-on-insulator (FD-SOI) process technologies for critical U.S. industries, including aerospace, defense, and automotive. This proposed investment also includes commitments to collaborate with the U.S. Department of Defense.","Semiconductors & Microelectronics","Tippecanoe County, IN; Otterbein, IN; Clarks Hill, IN; Romney, IN; Colburn, IN; Battle Ground, IN; Dayton, IN; West Point, IN; Montmorenci, IN; Shadeland, IN; West Lafayette, IN; Americus, IN; Stockwell, IN; Buck Creek, IN; Lafayette, IN"
23900000,"CHIPS for America Manufacturing Incentives","SolAero (Rocket Lab)","CHIPS for America - SolAero (Rocket Lab) - Other","SUB","Albuquerque, NM","The proposed CHIPS investment would help create a more robust and resilient supply of space-grade solar cells that power spacecrafts and satellites. The modernization and expansion project would increase Rocket Lab's compound semiconductor production by 50% within the next three years â€“ helping to meet the growing national security and commercial demand for these solar cells in the United States. Rocket Lab is one of two companies in the United States that specialize in the production of highly efficient and radiation resistant compound semiconductors called space-grade solar cells â€“ devices used in space to convert light to electricity. The proposed investment would create over 100 direct manufacturing jobs.","Semiconductors & Microelectronics","Bernalillo County, NM; Sandia Knolls, NM; Cedar Crest, NM; Sandia Heights, NM; Kirtland AFB, NM; Barton, NM; Sandia Park, NM; Edith Enclave, NM; Edgewood, NM; La Madera, NM; Chilili, NM; South Valley, NM; Paa-Ko, NM; Corrales, NM; Los Ranchos Albuquerque, NM; Isleta, NM; Cedro, NM; San Antonito, NM; Sedillo, NM; Carnuel, NM; North Valley, NM; Thunder Mountain, NM; Pajarito Mesa, NM; Rio Rancho, NM; Manzano Springs, NM; Tijeras, NM; Paradise Hills, NM; Albuquerque, NM; Ponderosa Pine, NM"
800000000,"CHIPS for America Manufacturing Incentives","Texas Instruments","CHIPS for America - Texas Instruments - Other","SUB","Dallas, TX","In Arizona, TSMC's three fabs are expected to bring a suite of the most advanced process node technologies to the United States: the first fab will produce 4nm FinFET process technologies; today, TSMC Arizona announced that the second fab will produce the world's most advanced 2nm nanosheet process technology, in addition to previously announced plans to produce 3nm process technologies; and TSMC Arizona's third fab will produce 2nm or more advanced process technologies depending on customer demand. At full capacity, TSMC Arizona's three fabs would manufacture tens of millions of leading-edge chips that will power products like 5G/6G smartphones, autonomous vehicles, and AI datacenter servers. TSMC Arizona expects to begin high-volume production in their first fab in the U.S. by the first half of 2025.","Semiconductors & Microelectronics","Collin County, TX; Dallas, TX; McKinney, TX; Seis Lagos, TX; Anna, TX; Carrollton, TX; Rockwall, TX; Garland, TX; Plano, TX; Parker, TX; Prosper, TX; Royse City, TX; Melissa, TX; Murphy, TX; Lowry Crossing, TX; St. Paul, TX; Lucas, TX; Pilot Point, TX; Sachse, TX; Weston, TX; Trenton, TX; Frisco, TX; Lavon, TX; Van Alstyne, TX; Fate, TX; Josephine, TX; Princeton, TX; Hebron, TX; New Hope, TX; Westminster, TX; Celina, TX; Wylie, TX; Fairview, TX; Blue Ridge, TX; Richardson, TX; Farmersville, TX; Allen, TX; Nevada, TX; Gunter, TX"
800000000,"CHIPS for America Manufacturing Incentives","Texas Instruments","CHIPS for America - Texas Instruments - Other","SUB","Salt Lake City, UT","Construction of two new, large-scale 300-mm fabrication facilities that are expected to produce 65nm â€“ 130nm essential chips, with anticipated production capacity of more than one hundred million chips every day. The Sherman site is one of the only greenfield production sites for chips on 300-mm wafers in the U.S.","Semiconductors & Microelectronics","Utah County, UT; Goshen, UT; Fairfield, UT; Lehi, UT; Elberta, UT; Sundance, UT; Spanish Fork, UT; Brighton, UT; Mapleton, UT; Woodland Hills, UT; Pleasant Grove, UT; Payson, UT; Bluffdale, UT; Benjamin, UT; Spring Lake, UT; Alta, UT; Herriman, UT; Hobble Creek, UT; Eureka, UT; Santaquin, UT; Alpine, UT; American Fork, UT; Cedar Fort, UT; Genola, UT; Lindon, UT; Orem, UT; Salem, UT; Vineyard, UT; Lake Shore, UT; Palmyra, UT; West Mountain, UT; Eagle Mountain, UT; Provo, UT; Springville, UT; Elk Ridge, UT; Draper, UT; Cedar Hills, UT; Highland, UT; Saratoga Springs, UT"
